!NAME: BENDER_MECHANICAL_ENTRANCE
!REGION: FULL
!OFFSET:        0.0000000000000000 (in meters)
!LENGTH:        1.1839000000000000 (canonical length in meters)
   1.000000      0.000000      0.000000      0.000000      0.000000     100000
  0.1183900      1.000000      0.000000      0.000000      0.000000     010000
   0.000000      0.000000      1.000000      0.000000      0.000000     001000
   0.000000      0.000000     0.1183900      1.000000      0.000000     000100
   0.000000      0.000000      0.000000      0.000000      1.000000     000010
   0.000000      0.000000      0.000000      0.000000    -0.5919500E-04 020000
   0.000000      0.000000      0.000000      0.000000    -0.5919500E-04 000200
   0.000000      0.000000      0.000000      0.000000     0.1479875E-10 040000
   0.000000      0.000000      0.000000      0.000000     0.2959750E-10 020200
   0.000000      0.000000      0.000000      0.000000     0.1479875E-10 000400
 ------------------------------------------------------------------------------
!NAME: BENDER_MAGNETIC_ENTRANCE
!REGION: FULL
!OFFSET:        1.1839000000000000 (in meters)
!LENGTH:        0.2005999999999999 (canonical length in meters)
   1.000000      0.000000      0.000000      0.000000      0.000000     100000
  0.2006000E-01  1.000000      0.000000      0.000000      0.000000     010000
   0.000000      0.000000      1.000000      0.000000      0.000000     001000
   0.000000      0.000000     0.2006000E-01  1.000000      0.000000     000100
   0.000000      0.000000      0.000000      0.000000      1.000000     000010
   0.000000      0.000000      0.000000      0.000000    -0.1003000E-04 020000
   0.000000      0.000000      0.000000      0.000000    -0.1003000E-04 000200
   0.000000      0.000000      0.000000      0.000000     0.2507500E-11 040000
   0.000000      0.000000      0.000000      0.000000     0.5015000E-11 020200
   0.000000      0.000000      0.000000      0.000000     0.2507500E-11 000400
 ------------------------------------------------------------------------------
!NAME: BENDER_MAGNETIC_EXIT
!REGION: FULL
!OFFSET:        1.3844999999999998 (in meters)
!LENGTH:        0.7513432613334228 (canonical length in meters)
  0.9992349    -0.2034873E-01  0.000000      0.000000      0.000000     100000
  0.7518103E-01 0.9992347      0.000000      0.000000      0.000000     010000
   0.000000      0.000000     0.9999998    -0.1708465E-11 0.5238090E-01 001000
   0.000000      0.000000     0.7507191E-01  1.000000     0.1965800E-02 000100
   0.000000      0.000000      0.000000      0.000000      1.000000     000010
   0.000000      0.000000    -0.1966535E-01-0.5238091    -0.6241305E-03 000001
   0.000000      0.000000    -0.5327055E-06 0.5425114E-08-0.1018549E-04 200000
   0.000000      0.000000     0.5234025E-04-0.5326277E-06 0.1372502E-05 110000
   0.000000      0.000000     0.2951904E-05 0.2617042E-04-0.3758324E-04 020000
  0.5330345E-06  0.000000      0.000000      0.000000      0.000000     101000
 -0.5234082E-04 0.5328502E-06  0.000000      0.000000      0.000000     011000
  0.5242033E-04-0.4606904E-09  0.000000      0.000000      0.000000     100100
 -0.1965029E-05-0.5238034E-04  0.000000      0.000000      0.000000     010100
   0.000000      0.000000    -0.5238090E-04  0.000000    -0.1371642E-05 001100
  0.1581869E-05 0.4067622E-03  0.000000      0.000000      0.000000     100001
 -0.3108876E-06 0.2902868E-04  0.000000      0.000000      0.000000     010001
   0.000000      0.000000     0.1372117E-04  0.000000      0.000000     001001
   0.000000      0.000000    -0.9825339E-06 0.2619046E-04-0.3749380E-04 000200
   0.000000      0.000000     0.1872629E-05-0.1372118E-04 0.1966534E-04 000101
   0.000000      0.000000     0.1962979E-03 0.5241685E-02 0.4213660E-05 000002
 -0.2778412E-06-0.7389010E-05  0.000000      0.000000      0.000000     300000
 -0.3854635E-07-0.8328862E-06  0.000000      0.000000      0.000000     210000
 -0.3281790E-08-0.5454717E-07  0.000000      0.000000      0.000000     120000
 -0.9639933E-10-0.1952649E-08  0.000000      0.000000      0.000000     030000
   0.000000      0.000000    -0.1728240E-12-0.1500568E-12 0.5421979E-11 201000
   0.000000      0.000000     0.4185841E-10-0.2453645E-12 0.8067186E-12 111000
   0.000000      0.000000    -0.2056112E-08 0.1394505E-10 0.2613447E-07 021000
 -0.1395800E-10  0.000000      0.000000      0.000000      0.000000     012000
   0.000000      0.000000     0.5084651E-07 0.2071970E-09 0.1865486E-08 200100
   0.000000      0.000000     0.1686915E-08-0.2031921E-07-0.1047912E-06 110100
   0.000000      0.000000     0.5906212E-10-0.1450532E-08-0.1964920E-08 020100
 -0.1394596E-10  0.000000      0.000000      0.000000      0.000000     101100
  0.1370020E-08-0.1394110E-10  0.000000      0.000000      0.000000     011100
   0.000000      0.000000     0.2664520E-08-0.3253581E-09 0.2031983E-06 200001
   0.000000      0.000000    -0.5233895E-06 0.2128951E-07 0.1367075E-07 110001
   0.000000      0.000000    -0.2955815E-07-0.2611031E-06 0.1555415E-08 020001
 -0.1065513E-07  0.000000      0.000000      0.000000      0.000000     101001
 -0.8018283E-09-0.1065144E-07  0.000000      0.000000      0.000000     011001
 -0.2372160E-09-0.6102707E-07  0.000000      0.000000      0.000000     100200
  0.1698873E-09-0.1609699E-08  0.000000      0.000000      0.000000     010200
   0.000000      0.000000     0.6855835E-09  0.000000     0.2622637E-07 001200
 -0.5248255E-06 0.3730516E-07  0.000000      0.000000      0.000000     100101
 -0.1982775E-07 0.1585806E-08  0.000000      0.000000      0.000000     010101
   0.000000      0.000000     0.1244658E-12  0.000000    -0.1372117E-07 001101
  0.4500658E-07-0.6103463E-05  0.000000      0.000000      0.000000     100002
  0.9849559E-08-0.3673026E-06  0.000000      0.000000      0.000000     010002
   0.000000      0.000000    -0.1373058E-06  0.000000     0.3593637E-08 001002
   0.000000      0.000000    -0.1358016E-09 0.6862962E-09-0.1470319E-11 000300
   0.000000      0.000000    -0.2940234E-07-0.7864329E-06-0.2294426E-08 000201
   0.000000      0.000000    -0.1267486E-07 0.5490583E-06-0.1956969E-06 000102
   0.000000      0.000000    -0.1959662E-05-0.5252470E-04-0.2200368E-07 000003
